titulo,autor,disponibilidad,link,categoria,moneda,precio_numero
MANUAL PRÁCTICO DE ARMONÍA DEL COLOR,TINA SUTTON,Disponible,/p/manual-practico-de-armonia-del-color/178136/281903,Arte,UYU,1360.0
SOROLLA. VIDA Y OBRA,BEGOÑA TORRES GONZÁLEZ,Disponible,/p/sorolla-vida-y-obra/10599/11093,Arte,UYU,331.5
WATTEAU,"LAUTERBACH, IRIS",Disponible,/p/watteau/63965/65508,Arte,UYU,501.5
36 HOURS ASIA Y OCEANIA,"IRELAND, BARBARA",Disponible,/p/36-hours-asia-y-oceania/64002/65546,Arte,UYU,841.5
I LOVE KAWAII,ANGELA NGUYEN,Disponible,/p/i-love-kawaii/117700/121031,Arte,UYU,765.0
OLAF. BOUQUET GARNI,OLAF LADOUSSE,Disponible,/p/olaf-bouquet-garni/141298/250337,Arte,UYU,1946.5
ÚLTIMAS CARTAS,VINCENT VAN GOGH,Disponible,/p/ultimas-cartas/157309/267379,Arte,UYU,501.5
ROMANTASY. COLOREA: ENEMIGOS Y AMANTES,AUTORES VARIO,Disponible,/p/romantasy-colorea-enemigos-y-amantes/178485/282220,Arte,UYU,612.0
LUCIO FONTANA,MUSEO DE ARTE CONTEMPORÁNEO ATCHUGARRY,Disponible,/p/lucio-fontana/177562/281352,Arte,UYU,1700.0
FRIDA KAHLO CARTAS DE AMOR,SUZANNE BARBEZAT,Disponible,/p/frida-kahlo-cartas-de-amor/177646/281438,Arte,UYU,1275.0
CARTAS DE COLOR PARA ARTISTAS,KELLY GROVIER,Disponible,/p/cartas-de-color-para-artistas/177640/281432,Arte,UYU,1445.0
BREVE HISTORIA DEL ARTE CONTEMPORANEO,"HODGE, SUSIE",Disponible,/p/breve-historia-del-arte-contemporaneo/177639/281431,Arte,UYU,1275.0
"CAMINO DEL ARTISTA, EL (EDICIÓN ESPECIAL)",JULIA CAMERON,Disponible,/p/camino-del-artista-el-edicion-especial-/177571/281361,Arte,UYU,1436.5
UNREACHABLE EMPIRES,SIGISMOND DE VAJAY,Disponible,/p/unreachable-empires/106909/281809,Arte,UYU,2711.5
OF BRIDGES & BORDERS VOL I,SIGISMOND DE VAJAY,Disponible,/p/of-bridges-amp-borders-vol-i/106895/110730,Arte,UYU,3646.5
TOIT DU MONDE,VV.AA.,Disponible,/p/toit-du-monde/107078/110923,Arte,UYU,2031.5
MAPPA,ALIGHIERO/ BOETTI,Disponible,/p/mappa/107159/111012,Arte,UYU,2711.5
AMOR IMPERFECTO,GIMENA MACRI,Disponible,/p/amor-imperfecto/107176/111031,Arte,UYU,1776.5
LINKE,ARMIN LINKE,Disponible,/p/linke/107198/111055,Arte,UYU,1861.5
OUT OF BEIRUT,VV.AA.,Disponible,/p/out-of-beirut/107329/111193,Arte,UYU,926.5
MONK STUDIO,MONK JONATHAN,Disponible,/p/monk-studio/113087/117250,Arte,UYU,1266.5
ARMLEDER ABOUT OF NOTHING,JOHN ARMLEDER,Disponible,/p/armleder-about-of-nothing/113204/117373,Arte,UYU,8661.5
GREAUD CELLAR DOOR,LORIS GRÉAUD,Disponible,/p/greaud-cellar-door/178044/117421,Arte,UYU,671.5
MENTAL LANDSCAPE,"SISSIA, MARIANA",Disponible,/p/mental-landscape/100169/103761,Arte,UYU,1861.5
DOMA_17,VARIOS AUTORES,Disponible,/p/doma-17/113533/250746,Arte,UYU,2371.5
MOTTI,GIANNI MOTTI,Disponible,/p/motti/113565/117750,Arte,UYU,1861.5
ENLARGE,"BIANCHI, DIEGO",Disponible,/p/enlarge/100144/103734,Arte,UYU,2201.5
PARRENO,PHILIPPE PARRENO,Disponible,/p/parreno/113582/117769,Arte,UYU,3561.5
TENSIÓN,LUCIANA LAMOTHE,Disponible,/p/tension/113625/117811,Arte,UYU,2286.5
COLOR,VICTORIA FINLAY,Disponible,/p/color/155191/265109,Arte,UYU,1275.0
"FRIDA: MUJER, ARTISTA, ICONO",CHIARA PASQUALETTI JOHNSON,Disponible,/p/frida-mujer-artista-icono/169253/273298,Arte,UYU,1853.0
TRENES,"ATKINSON, SAM",Disponible,/p/trenes/126771/128928,Arte,UYU,2703.0
FRIDA KAHLO,SOUTER GERRY,Disponible,/p/frida-kahlo/174141/278011,Arte,UYU,1861.5
APRENDER A DIBUJAR CON TU OJO DOMINANTE,BETTY EDWARDS,Disponible,/p/aprender-a-dibujar-con-tu-ojo-dominante/138332/143830,Arte,UYU,926.5
APRENDER A DIBUJAR CON EL LADO DERECHO DEL CEREBRO,EDWARDS BETTY,Disponible,/p/aprender-a-dibujar-con-el-lado-derecho-del-cerebro/126254/128293,Arte,UYU,1317.5
DIBUJA PERSONAS IN SITU,RÓISÍN CURÉ,Disponible,/p/dibuja-personas-in-situ/156632/266677,Arte,UYU,1181.5
CAPTAR Y PLASMAR LA LUZ IN SITU,KATIE WOODWARD,Disponible,/p/captar-y-plasmar-la-luz-in-situ/156629/266674,Arte,UYU,1181.5
ARTE ANTES DEL DESAYUNO,"GREGORY, DANNY",Disponible,/p/arte-antes-del-desayuno/146671/256058,Arte,UYU,1181.5
EL ÚLTIMO DICTADOR Y LA PRIMERA DAMA - EL RATÓN,"MASLÍAH, LEO",Disponible,/p/el-ultimo-dictador-y-la-primera-dama-el-raton/114852/119116,Arte,UYU,586.5
MANUAL DE CINE DE ANIMACIÓN,ÁNGELA ITURRIZA,Disponible,/p/manual-de-cine-de-animacion/176108/279981,Arte,UYU,1105.0
QUE HACE EL ARTE,BRIAN ENO / BETTE A.,Disponible,/p/que-hace-el-arte/176361/280248,Arte,UYU,841.5
LAS EXTRAVAGANTES,VICTORIA COMBALIA,Disponible,/p/las-extravagantes/176273/280155,Arte,UYU,841.5
ATLAS DEL ARTE URBANO Y DEL GRAFITI,DIEGO LOPEZ GIMÉNEZ,Disponible,/p/atlas-del-arte-urbano-y-del-grafiti/175976/279840,Arte,UYU,2533.0
"MANZANA DE CÉZANNE, LA. ESCRITOS SOBRE PINTURA",DH LAWRENCE,Disponible,/p/manzana-de-cezanne-la-escritos-sobre-pintura/176056/279928,Arte,UYU,586.5
MURGA,"BROCOS, FILGUEIRAS",Disponible,/p/murga/106893/110724,Arte,UYU,586.5
APRENDE A DIBUJAR ANIMALES EN 50 MODELOS,NIELS ROMAN,Disponible,/p/aprende-a-dibujar-animales-en-50-modelos/175980/279844,Arte,UYU,586.5
ROJO - HISTORIA DE UN COLOR,MICHEL PASTOUREAU,Disponible,/p/rojo-historia-de-un-color/160200/270174,Arte,UYU,1700.0
